perturbation_type,ell,a_over_M,ratio_name,numerator_overtone,denominator_overtone,value_real,value_imag,schwarzschild_value_real,schwarzschild_value_imag,fractional_shift_abs,fractional_real_shift,validation_max
gravitational,2,0.0,omega0_over_omega1,0,1,0.7883930533401254,0.3662712470624624,0.7883930533401254,0.3662712470624624,0.0,0.0,3.150476342345582e-08
gravitational,2,0.2,omega0_over_omega1,0,1,0.7879604702697509,0.3665800918536724,0.7883930533401254,0.3662712470624624,0.0006114197113406002,-0.0005486896016420158,3.134560240399273e-08
gravitational,2,0.5,omega0_over_omega1,0,1,0.7857226278091997,0.36817348360229885,0.7883930533401254,0.3662712470624624,0.0037715315455770612,-0.003387175368443683,3.051907325132228e-08
gravitational,2,1.0,omega0_over_omega1,0,1,0.7781843615809413,0.3734764612510742,0.7883930533401254,0.3662712470624624,0.014373638072995366,-0.012948733776805563,2.82230698750502e-08
gravitational,2,0.0,omega0_over_omega2,0,2,0.48544925089806795,0.4757191300835635,0.48544925089806795,0.4757191300835635,0.0,0.0,1.0244249051467922e-05
gravitational,2,0.2,omega0_over_omega2,0,2,0.4846650256104985,0.47570584073220856,0.48544925089806795,0.4757191300835635,0.0011539751578094255,-0.0016154629677945624,1.0310107620983998e-05
gravitational,2,0.5,omega0_over_omega2,0,2,0.48061387847412157,0.47562976889373004,0.48544925089806795,0.4757191300835635,0.007115367745644241,-0.009960613627482327,1.0968198450625877e-05
gravitational,2,1.0,omega0_over_omega2,0,2,0.46706869077764795,0.47524111178602224,0.48544925089806795,0.4757191300835635,0.027051965807767447,-0.03786298997560808,1.673805802374259e-07
gravitational,2,0.0,real_to_damping_n0,0,,4.200336755223598,0.0,4.200336755223598,0.0,0.0,0.0,1.0727380586397459e-11
gravitational,2,0.2,real_to_damping_n0,0,,4.1947107312304315,0.0,4.200336755223598,0.0,0.0013394221275640137,-0.0013394221275640137,1.1057866687243159e-11
gravitational,2,0.5,real_to_damping_n0,0,,4.165869157968674,0.0,4.200336755223598,0.0,0.008205912826408404,-0.008205912826408404,8.478437438063632e-12
gravitational,2,1.0,real_to_damping_n0,0,,4.0718512147769905,0.0,4.200336755223598,0.0,0.030589342696587703,-0.030589342696587703,6.9358544719920275e-12
gravitational,2,0.0,real_to_damping_n1,1,,1.2657618411943832,0.0,1.2657618411943832,0.0,0.0,0.0,3.150476342345582e-08
gravitational,2,0.2,real_to_damping_n1,1,,1.2635934670713311,0.0,1.2657618411943832,0.0,0.0017130980350979345,-0.0017130980350979345,3.134560240399273e-08
gravitational,2,0.5,real_to_damping_n1,1,,1.2524521361133782,0.0,1.2657618411943832,0.0,0.010515173271810584,-0.010515173271810584,3.051907325132228e-08
gravitational,2,1.0,real_to_damping_n1,1,,1.2158615634875576,0.0,1.2657618411943832,0.0,0.03942311743237518,-0.03942311743237518,2.82230698750502e-08
gravitational,2,0.0,real_to_damping_n2,2,,0.6294541974102498,0.0,0.6294541974102498,0.0,0.0,0.0,1.0244249051467922e-05
gravitational,2,0.2,real_to_damping_n2,2,,0.6279244047020429,0.0,0.6294541974102498,0.0,0.002430347933973354,-0.002430347933973354,1.0310107620983998e-05
gravitational,2,0.5,real_to_damping_n2,2,,0.6200361901545333,0.0,0.6294541974102498,0.0,0.014962180400837456,-0.014962180400837456,1.0968198450625877e-05
gravitational,2,1.0,real_to_damping_n2,2,,0.5938744096529536,0.0,0.6294541974102498,0.0,0.05652482405182359,-0.05652482405182359,1.673805802374259e-07
gravitational,3,0.0,omega0_over_omega1,0,1,0.8966481869738481,0.27379059836431724,0.8966481869738481,0.27379059836431724,0.0,0.0,1.0712098840469527e-10
gravitational,3,0.2,omega0_over_omega1,0,1,0.8963355828205851,0.2742246399432811,0.8966481869738481,0.27379059836431724,0.0005705447371163586,-0.0003486363523668949,1.1043626561508206e-10
gravitational,3,0.5,omega0_over_omega1,0,1,0.8947333067559093,0.27643507706137993,0.8966481869738481,0.27379059836431724,0.003482570034380741,-0.0021355981596320123,2.479810897250013e-10
gravitational,3,1.0,omega0_over_omega1,0,1,0.8894827530336568,0.28351404187693363,0.8966481869738481,0.27379059836431724,0.012883431105129552,-0.007991354964285787,1.3270024263042285e-10
gravitational,3,0.0,omega0_over_omega2,0,2,0.7026164826916874,0.4421281337922579,0.7026164826916874,0.4421281337922579,0.0,0.0,2.246986535261215e-08
gravitational,3,0.2,omega0_over_omega2,0,2,0.7018075682437445,0.44257636413154616,0.7026164826916874,0.4421281337922579,0.001114015690751672,-0.0011512887441012555,2.21338621726175e-08
gravitational,3,0.5,omega0_over_omega2,0,2,0.6976691703641225,0.44483965291477856,0.7026164826916874,0.4421281337922579,0.00679595162536242,-0.007041269952296108,4.2601299916018664e-08
gravitational,3,1.0,omega0_over_omega2,0,2,0.6841987971895169,0.45186269686499453,0.7026164826916874,0.4421281337922579,0.02509431141678025,-0.026212999489583975,6.985147765306754e-09
gravitational,3,0.0,real_to_damping_n0,0,,6.466273781995538,0.0,6.466273781995538,0.0,0.0,0.0,9.006634132461877e-14
gravitational,3,0.2,real_to_damping_n0,0,,6.454072815212216,0.0,6.466273781995538,0.0,0.0018868620777075305,-0.0018868620777075305,4.3973350435464007e-13
gravitational,3,0.5,real_to_damping_n0,0,,6.392489657630008,0.0,6.466273781995538,0.0,0.011410609394698389,-0.011410609394698389,2.7365018876919607e-13
gravitational,3,1.0,real_to_damping_n0,0,,6.201252232454559,0.0,6.466273781995538,0.0,0.040985203917423885,-0.040985203917423885,2.9309355476010774e-14
gravitational,3,0.0,real_to_damping_n1,1,,2.0712680789728823,0.0,2.0712680789728823,0.0,0.0,0.0,1.0712098840469527e-10
gravitational,3,0.2,real_to_damping_n1,1,,2.0669070710573383,0.0,2.0712680789728823,0.0,0.0021054772966455555,-0.0021054772966455555,1.1043626561508206e-10
gravitational,3,0.5,real_to_damping_n1,1,,2.0448768151583963,0.0,2.0712680789728823,0.0,0.012741597325042158,-0.012741597325042158,2.479810897250013e-10
gravitational,3,1.0,real_to_damping_n1,1,,1.976259170369714,0.0,2.0712680789728823,0.0,0.04586992363165373,-0.04586992363165373,1.3270024263042285e-10
gravitational,3,0.0,real_to_damping_n2,2,,1.1515200337825515,0.0,1.1515200337825515,0.0,0.0,0.0,2.246986535261215e-08
gravitational,3,0.2,real_to_damping_n2,2,,1.1485889007528696,0.0,1.1515200337825515,0.0,0.002545446838691699,-0.002545446838691699,2.21338621726175e-08
gravitational,3,0.5,real_to_damping_n2,2,,1.1337647129071655,0.0,1.1515200337825515,0.0,0.015419029069831058,-0.015419029069831058,4.2601299916018664e-08
gravitational,3,1.0,real_to_damping_n2,2,,1.0874027190744706,0.0,1.1515200337825515,0.0,0.05568058985258485,-0.05568058985258485,6.985147765306754e-09
gravitational,4,0.0,omega0_over_omega1,0,1,0.9383944886436355,0.2167298411898355,0.9383944886436355,0.2167298411898355,0.0,0.0,1.3792352305161642e-11
gravitational,4,0.2,omega0_over_omega1,0,1,0.9381877016070601,0.2171289020539451,0.9383944886436355,0.2167298411898355,0.0004666774766562825,-0.00022036258639400943,2.6817727450818785e-11
gravitational,4,0.5,omega0_over_omega1,0,1,0.9371285378681102,0.21916025104506623,0.9383944886436355,0.2167298411898355,0.002845352710882825,-0.0013490603268089185,7.499812011177624e-11
gravitational,4,1.0,omega0_over_omega1,0,1,0.9336657547575857,0.22565677114860186,0.9383944886436355,0.2167298411898355,0.010489108046715956,-0.005039174828152211,2.3574530277617252e-11
gravitational,4,0.0,omega0_over_omega2,0,2,0.8103172367759743,0.38140322196783405,0.8103172367759743,0.38140322196783405,0.0,0.0,2.807762221168071e-09
gravitational,4,0.2,omega0_over_omega2,0,2,0.8097128730706249,0.3819649240907875,0.8103172367759743,0.38140322196783405,0.0009212744553800499,-0.0007458359244017027,3.7252314369008894e-09
gravitational,4,0.5,omega0_over_omega2,0,2,0.8066205994783534,0.3848126811391433,0.8103172367759743,0.38140322196783405,0.005615144707473006,-0.0045619630557642045,1.3650674602192679e-08
gravitational,4,1.0,omega0_over_omega2,0,2,0.79654916621569,0.3937877922449209,0.8103172367759743,0.38140322196783405,0.020677493249738294,-0.016990963459031904,5.134690423768067e-09
gravitational,4,0.0,real_to_damping_n0,0,,8.593291627010307,0.0,8.593291627010307,0.0,0.0,0.0,6.868825342770505e-14
gravitational,4,0.2,real_to_damping_n0,0,,8.575839922776455,0.0,8.593291627010307,0.0,0.0020308520868765763,-0.0020308520868765763,3.15640322711544e-13
gravitational,4,0.5,real_to_damping_n0,0,,8.487958748578063,0.0,8.593291627010307,0.0,0.012257570556684493,-0.012257570556684493,1.5020810223905863e-13
gravitational,4,1.0,real_to_damping_n0,0,,8.217168099225796,0.0,8.593291627010307,0.0,0.043769435986820815,-0.043769435986820815,1.9058146924981454e-14
gravitational,4,0.0,real_to_damping_n1,1,,2.8017421521598966,0.0,2.8017421521598966,0.0,0.0,0.0,1.3792352305161642e-11
gravitational,4,0.2,real_to_damping_n1,1,,2.795685207807685,0.0,2.8017421521598966,0.0,0.002161849314913662,-0.002161849314913662,2.6817727450818785e-11
gravitational,4,0.5,real_to_damping_n1,1,,2.7651682475925705,0.0,2.8017421521598966,0.0,0.013053986620121649,-0.013053986620121649,7.499812011177624e-11
gravitational,4,1.0,real_to_damping_n1,1,,2.6709580350500572,0.0,2.8017421521598966,0.0,0.04667956935616518,-0.04667956935616518,2.3574530277617252e-11
gravitational,4,0.0,real_to_damping_n2,2,,1.6101195450809365,0.0,1.6101195450809365,0.0,0.0,0.0,2.807762221168071e-09
gravitational,4,0.2,real_to_damping_n2,2,,1.606214935094425,0.0,1.6101195450809365,0.0,0.002425043530736817,-0.002425043530736817,3.7252314369008894e-09
gravitational,4,0.5,real_to_damping_n2,2,,1.5865250808391462,0.0,1.6101195450809365,0.0,0.014653858661534479,-0.014653858661534479,1.3650674602192679e-08
gravitational,4,1.0,real_to_damping_n2,2,,1.525552253142659,0.0,1.6101195450809365,0.0,0.05252236841459273,-0.05252236841459273,5.134690423768067e-09
scalar,2,0.0,omega0_over_omega1,0,1,0.8360598990645016,0.3242074679754346,0.8360598990645016,0.3242074679754346,0.0,0.0,1.8142844205909435e-09
scalar,2,0.2,omega0_over_omega1,0,1,0.8354970745128202,0.3247274754055702,0.8360598990645016,0.3242074679754346,0.0008545323516890364,-0.0006731868760972812,1.7882961564609665e-09
