ell,overtone,a_over_M,spectral_N,center_real,center_imag,initial_eigenvalue_real,initial_eigenvalue_imag,residual_norm,selection_score,eigenvector_overlap_previous_a,half_width,grid_size,min_log10_relative_sigma,q10_susceptibility,q50_susceptibility,q10_log10_sigma_min,q50_log10_sigma_min,area_fraction_m10,area_fraction_m9_5,area_fraction_m9,boundary_touch_m10,curvature_trace_indicator,eigen_condition_indicator,nearest_eigenvalue_distance,hit_minimizer_boundary
0,0,0.0,32,0.11045537455222292,-0.10489481856154506,0.11045537455222292,-0.10489481856154506,7.858312905475625e-20,0.001006534444138832,,0.012,21,-20.44318907475388,10.377301751674983,10.083638727104944,-9.038709595147548,-8.744996853921613,0.5782312925170068,0.9727891156462585,1.0,True,26460969.09845231,6525.628821462174,0.24324963201441918,False
0,0,0.1,32,0.1103588223155846,-0.10487364936040391,0.1103588223155846,-0.10487364936040391,2.3182608128040755e-19,0.012735448391198041,0.9999999971005445,0.012,21,-19.973074596037087,10.379316563254266,10.085810444360712,-9.041005879609395,-8.747450030690802,0.5804988662131519,0.9750566893424036,1.0,True,25149318.462679163,6552.777559121437,0.24322333023749762,False
0,0,0.2,32,0.11007061157546101,-0.10481013876826278,0.11007061157546101,-0.10481013876826278,1.026551175318638e-19,0.0038108797135792943,0.9999999742660817,0.012,21,-20.326014104137958,10.38533258840282,10.092295994381407,-9.047863997981576,-8.754777633904748,0.5850340136054422,0.9750566893424036,1.0,True,26112455.136145964,6634.548465014122,0.2431465957014589,False
0,0,0.35,32,0.10928900629549763,-0.10463548450974489,0.10928900629549763,-0.10463548450974489,8.895439356173488e-21,0.008640596918632403,0.9999998127494508,0.012,21,-21.385929055464047,10.401660986474385,10.108657928762709,-9.066490405196863,-8.773369077554097,0.6145124716553289,0.9773242630385488,1.0,True,29009833.914812002,6861.928821334712,0.2429489967127519,False
0,0,0.5,32,0.10811159528192005,-0.10436568362184523,0.10811159528192005,-0.10436568362184523,1.5445789367647422e-19,0.012576203811634563,0.9999995828880424,0.012,21,-20.142784408437088,10.426295517630052,10.133200927923257,-9.094626511172521,-8.801413102716259,0.63718820861678,0.9841269841269841,1.0,True,25485980.68630559,7220.570872985582,0.24268704431726124,False
0,0,0.75,32,0.1053709708649894,-0.10370616121934485,0.1053709708649894,-0.10370616121934485,4.119952209566591e-20,0.028512652792200173,0.9999978135780702,0.012,21,-20.70836180824859,10.486404869098225,10.19450447688301,-9.163262276728434,-8.871199282094024,0.6961451247165533,0.9909297052154195,1.0,True,26891904.911641657,8136.679816026718,0.2423024027491218,False
0,0,1.0,32,0.101840771624337,-0.10279049958017718,0.101840771624337,-0.10279049958017718,6.255323966068182e-20,0.03797444620268861,0.9999965152438134,0.012,21,-20.515858106604888,10.568038244626337,10.271619154428054,-9.256043485725508,-8.959310245866046,0.782312925170068,0.9977324263038548,1.0,True,26143155.46511078,9507.357911045154,0.24237323436363525,False
0,1,0.0,32,0.08666972839479002,-0.34697874308364907,0.08666972839479002,-0.34697874308364907,1.1785248573836035e-19,0.00483092609833963,,0.01788196647267406,21,-20.260892628189083,13.98472278309675,13.691672881754107,-12.65260246714863,-12.35931945490121,1.0,1.0,1.0,True,7169231.0679171635,41054819.561389476,0.24324963201441918,False
0,1,0.1,32,0.08653804171160136,-0.3469276903992507,0.08653804171160136,-0.3469276903992507,2.3834842867540374e-19,0.01269900967883288,0.999999946886941,0.01787789522210579,21,-19.95473617040405,13.988672172562099,13.695696272724147,-12.656834773014364,-12.363625763272164,1.0,1.0,1.0,True,6784416.22909252,41395944.65605324,0.24322333023749762,False
0,1,0.2,32,0.08614472139150653,-0.3467767041861198,0.08614472139150653,-0.3467767041861198,1.4573629946288345e-19,0.0031283459499396532,0.9999995286221005,0.017865819012139347,21,-20.167534292129655,14.000522527183959,13.707816202213845,-12.66953157542329,-12.37659214350293,1.0,1.0,1.0,True,7045441.27542351,42438710.832603455,0.2431465957014589,False
0,1,0.35,32,0.08506752294428113,-0.3463740514534568,0.08506752294428113,-0.3463740514534568,1.7112556507933361e-19,0.023905374111639077,0.9999965221463956,0.01783335827740794,21,-20.095477093760955,14.03328741089872,13.740920572522102,-12.704606537205347,-12.412100427786706,1.0,1.0,1.0,True,6939283.465898072,45473574.05316934,0.2429489967127519,False
0,1,0.5,32,0.08342077393277457,-0.3457934467737928,0.08342077393277457,-0.3457934467737928,1.8432971001830757e-19,0.008294800020163855,0.9999921162297554,0.01778567776015599,21,-20.059676073086866,14.084698370603185,13.791000155576606,-12.75938477156833,-12.466051741265643,1.0,1.0,1.0,True,6866526.388882672,50683778.8783803,0.24268704431726124,False
0,1,0.75,32,0.07954119082730716,-0.3446278846923488,0.07954119082730716,-0.3446278846923488,1.0888766683668246e-19,0.019993012113229288,0.9999587441220323,0.017684398487490954,21,-20.279903284403773,14.209812951770235,13.916218784544604,-12.89304227243234,-12.599660327346438,1.0,1.0,1.0,True,7064692.367978252,66488942.38813616,0.2423024027491218,False
0,1,1.0,32,0.07480075629173331,-0.3436506712705216,0.07480075629173331,-0.3436506712705216,2.837225019851161e-20,0.020863076267275706,0.9999420676504397,0.017584861174210008,21,-20.852764195586083,14.38419840666562,14.089412139797137,-13.078643518725455,-12.783561996750501,1.0,1.0,1.0,True,7667027.99416618,95839044.26125705,0.24237323436363525,False
1,0,0.0,32,0.29293613329687984,-0.09765998896988946,0.29293613329687984,-0.09765998896988946,1.0038079246889388e-19,0.0036931394486994546,,0.015439320875327248,21,-20.338071668054024,8.605914068908966,8.330086952613312,-7.266272861125608,-6.990179359824727,0.0022675736961451248,0.0022675736961451248,0.015873015873015872,False,18750527.02859786,223.911446935895,0.21053412604386473,False
1,0,0.1,32,0.2926892527223265,-0.09763443734103025,0.2926892527223265,-0.09763443734103025,1.8503266411962097e-19,0.0025550366952274564,0.9999999913660713,0.015427206650432011,21,-20.07219152815387,8.607618473000601,8.331792117941866,-7.26825959979114,-6.992166949650568,0.0022675736961451248,0.0022675736961451248,0.015873015873015872,False,18330266.963269535,224.37950042873672,0.21050133243210867,False
1,0,0.2,32,0.29195301155214065,-0.0975579156095639,0.29195301155214065,-0.0975579156095639,9.137677109261232e-20,0.004478622913743224,0.9999999230249939,0.015391077598112419,21,-20.377759393572433,8.61270622740641,8.336881929269596,-7.274192013168439,-6.998101688216073,0.0022675736961451248,0.0022675736961451248,0.018140589569160998,False,18923825.31031268,225.7841112381035,0.21040298511576574,False
1,0,0.35,32,0.2899616537967637,-0.09734851498663594,0.2899616537967637,-0.09734851498663594,1.8594448867780455e-19,0.012008082643939863,0.9999994329750479,0.015293339566839018,21,-20.066906781731834,8.626504236669051,8.350683792275419,-7.290294942029478,-7.014209197172798,0.0022675736961451248,0.0022675736961451248,0.018140589569160998,False,18611293.85181688,229.6504697870335,0.21013289907807797,False
1,0,0.5,32,0.28697624762754126,-0.09702789818995475,0.28697624762754126,-0.09702789818995475,3.4919518792733326e-19,0.016740885159632367,0.9999987093287884,0.015146763658414306,21,-19.78970969936937,8.647290272500317,8.37147037138636,-7.314592835222724,-7.038508724717785,0.0022675736961451248,0.0022675736961451248,0.02040816326530612,False,18453782.473211396,235.63736899249375,0.20971674386771522,False
1,0,0.75,32,0.28009254746539153,-0.09625759717870917,0.28009254746539153,-0.09625759717870917,5.281822339834211e-19,0.03476634719557271,0.999992960418597,0.0148085583498421,21,-19.601630461945955,8.695674206615962,8.419826762129711,-7.3713398034833935,-7.095230675849825,0.0022675736961451248,0.0022675736961451248,0.022675736961451247,False,18875209.60961891,250.37973784420626,0.20870496916057898,False
1,0,1.0,32,0.2713551762982948,-0.0952160907063619,0.2713551762982948,-0.0952160907063619,1.4298194394126917e-19,0.045361195710817336,0.999988178129761,0.014378780862201146,21,-20.1579581932088,8.758001976173446,8.482048931743815,-7.4448415759156035,-7.168630078191638,0.0022675736961451248,0.0022675736961451248,0.031746031746031744,False,20976520.81128611,271.205074198945,0.2073135111026492,False
