test,spectral_N,grid_size,half_width,minus_q10_a0,minus_q10_a1,endpoint_gain,positive_gain
grid,64,81,0.025,9.898324398539742,10.05961470268179,0.1612903041420477,True
grid,64,121,0.025,9.898733847630828,10.05907190463987,0.16033805700904225,True
grid,64,161,0.025,9.898581926326136,10.059254927537275,0.1606730012111388,True
window,64,121,0.02,9.941193373664019,10.080825550805857,0.13963217714183784,True
window,64,121,0.03,9.905228457774479,10.069929697864726,0.16470124009024723,True
spectral_N,32,121,0.025,7.831749629219631,7.931949510093236,0.10019988087360421,True
spectral_N,48,121,0.025,8.985872330543907,9.114594945690214,0.128722615146307,True
