a_over_M,N,mode,baseline_time_domain_real,baseline_time_domain_imag,baseline_matrix_pencil_real,baseline_matrix_pencil_imag,spectral_real,spectral_imag,spectral_residual_real,spectral_residual_imag,schwarzschild_reference_relative_error,matrix_dimension,effective_qubits,pauli_terms,sparsity,condition_number,conditioning_warning,residual_norm,hermiticity_error,psd_min_eigenvalue,branch_status,selection_score,eigenvector_overlap
0.0,96,fundamental,0.4836424799305551,-0.09675891868858087,0.48365353030729985,-0.09676342092197152,0.48364387218947097,-0.09675877596067525,0.48364387218947097,-0.09675877596067525,1.4623430644312134e-10,96,7,16377,0.0,2.1255195010522072e+21,True,1.0355691969246011e-19,0.0,4.54116979205557e-14,publication_high_n,0.0054414166268894676,1.0000000000000002
0.0,32,first_overtone,,,,,0.46385057891627257,-0.2956039379805023,0.46385057891627257,-0.2956039379805023,,32,5,1023,0.0,5.079028815250584e+19,True,4.271250894657042e-19,0.0,-5.142416369751562e-16,leaver_validated_reference_grid,0.0010315418679699396,0.9999999998785138
0.2,96,fundamental,0.4820323922542123,-0.09665347072094715,0.48204305025987254,-0.0966583526070166,0.48203368795486956,-0.09665386074813263,0.48203368795486956,-0.09665386074813263,,96,7,16381,0.0,2.6630407505433913e+22,True,8.244484193809914e-21,0.0,-7.485541389115103e-14,publication_high_n,0.0010000001194600111,1.0000000000000002
0.2,32,first_overtone,,,,,0.46216558690205634,-0.29531129832555797,0.46216558690205634,-0.29531129832555797,,32,5,1023,0.0,6.9285692057237864e+19,True,3.122867245744668e-19,0.0,1.5441908839688399e-15,leaver_validated_reference_grid,0.004109891256459169,0.9999999998804998
0.5,96,fundamental,0.4738865585220567,-0.09610682157299509,0.473894586504634,-0.09611286342549795,0.4738869263759794,-0.096109182706946,0.4738869263759794,-0.096109182706946,,96,7,16381,0.0,4.2505160667529793e+21,True,5.098060049711325e-20,0.0,1.7228630054292172e-12,publication_high_n,0.0024783714253653203,1.0
0.5,32,first_overtone,,,,,0.4536427457066632,-0.29379018071495056,0.4536427457066632,-0.29379018071495056,,32,5,1023,0.0,5.933160582664803e+19,True,3.5977873275305475e-19,0.0,-6.514836176558369e-17,leaver_validated_reference_grid,0.003796434954486433,0.9999999998899503
1.0,96,fundamental,0.44836164922387384,-0.09424653874705577,0.44836213386809476,-0.0942490393856146,0.44836240909457853,-0.09424817915768438,0.44836240909457853,-0.09424817915768438,,96,7,16381,0.0,5.162250835324125e+21,True,4.0165741278601735e-20,0.0,-4.615031622429949e-13,publication_high_n,0.001591325719973987,1.0
1.0,32,first_overtone,,,,,0.4269714902744878,-0.28857291401866697,0.4269714902744878,-0.28857291401866697,,32,5,1024,0.0,1.8608410284315473e+20,True,1.0962146899825735e-19,0.0,5.933373958707633e-16,leaver_validated_reference_grid,0.001902387647302392,0.999999999913892
