perturbation_type,ell,a_over_M,ratio_name,numerator_overtone,denominator_overtone,value_real,value_imag,schwarzschild_value_real,schwarzschild_value_imag,fractional_shift_abs,fractional_real_shift,validation_max
gravitational,2,0.0,omega0_over_omega1,0,1,0.7883930533401254,0.3662712470624624,0.7883930533401254,0.3662712470624624,0.0,0.0,3.150476342345582e-08
gravitational,2,0.2,omega0_over_omega1,0,1,0.7877100040880234,0.366841658611488,0.7883930533401254,0.3662712470624624,0.001023675349289185,-0.0008663816217155,3.1768589222932424e-08
gravitational,2,0.5,omega0_over_omega1,0,1,0.7842151299349681,0.3697396262941957,0.7883930533401254,0.3662712470624624,0.006246236088423546,-0.005299289976563126,3.317095888268997e-08
gravitational,2,1.0,omega0_over_omega1,0,1,0.7728236520769821,0.37895103164769345,0.7883930533401254,0.3662712470624624,0.02309783420319902,-0.01974827301836516,3.786340005890857e-08
gravitational,2,0.0,omega0_over_omega2,0,2,0.48544925089806795,0.4757191300835635,0.48544925089806795,0.4757191300835635,0.0,0.0,1.0244249051467922e-05
gravitational,2,0.2,omega0_over_omega2,0,2,0.48414930793668015,0.47586013567528423,0.48544925089806795,0.4757191300835635,0.0019237896319387368,-0.002677814331741046,1.0470862577010254e-05
gravitational,2,0.5,omega0_over_omega2,0,2,0.47752431517428634,0.47653540380342146,0.48544925089806795,0.4757191300835635,0.011721430835973934,-0.01632495200913524,1.2015469154339846e-05
gravitational,2,1.0,omega0_over_omega2,0,2,0.45622372432626235,0.4782070849924329,0.48544925089806795,0.4757191300835635,0.04315425402429106,-0.06020305215785002,8.809462883071715e-12
gravitational,2,0.0,real_to_damping_n0,0,,4.200336755223598,0.0,4.200336755223598,0.0,0.0,0.0,1.0727380586397459e-11
gravitational,2,0.2,real_to_damping_n0,0,,4.190838330177704,0.0,4.200336755223598,0.0,0.0022613484583306064,-0.0022613484583306064,1.1141247883103491e-11
gravitational,2,0.5,real_to_damping_n0,0,,4.1430015196916035,0.0,4.200336755223598,0.0,0.013650152088565761,-0.013650152088565761,8.88535659030065e-12
gravitational,2,1.0,real_to_damping_n0,0,,3.995463677685357,0.0,4.200336755223598,0.0,0.04877539337374752,-0.04877539337374752,8.809462883071715e-12
gravitational,2,0.0,real_to_damping_n1,1,,1.2657618411943832,0.0,1.2657618411943832,0.0,0.0,0.0,3.150476342345582e-08
gravitational,2,0.2,real_to_damping_n1,1,,1.2620290313797176,0.0,1.2657618411943832,0.0,0.002949061737509251,-0.002949061737509251,3.1768589222932424e-08
gravitational,2,0.5,real_to_damping_n1,1,,1.24318068419618,0.0,1.2657618411943832,0.0,0.017839972942220554,-0.017839972942220554,3.317095888268997e-08
gravitational,2,1.0,real_to_damping_n1,1,,1.1844975527195558,0.0,1.2657618411943832,0.0,0.06420187892387853,-0.06420187892387853,3.786340005890857e-08
gravitational,2,0.0,real_to_damping_n2,2,,0.6294541974102498,0.0,0.6294541974102498,0.0,0.0,0.0,1.0244249051467922e-05
gravitational,2,0.2,real_to_damping_n2,2,,0.6266663816076385,0.0,0.6294541974102498,0.0,0.004428941476728694,-0.004428941476728694,1.0470862577010254e-05
gravitational,2,0.5,real_to_damping_n2,2,,0.6125465733433392,0.0,0.6294541974102498,0.0,0.026860769435605135,-0.026860769435605135,1.2015469154339846e-05
gravitational,2,1.0,real_to_damping_n2,2,,0.5680966778626709,0.0,0.6294541974102498,0.0,0.09747733798586268,-0.09747733798586268,0.0
gravitational,3,0.0,omega0_over_omega1,0,1,0.8966481869738482,0.27379059836431735,0.8966481869738482,0.27379059836431735,0.0,0.0,1.0667707823714203e-10
gravitational,3,0.2,omega0_over_omega1,0,1,0.896285953076759,0.27429945888480417,0.8966481869738482,0.27379059836431735,0.000666250768521439,-0.0004039866497826207,1.1091789538771235e-10
