a_over_M,N,mode,omega_real,omega_imag,relative_change_from_previous_N,absolute_error_from_N96,residual_norm,matrix_dimension,sparsity,condition_number,conditioning_warning,branch_status,selection_score,eigenvector_overlap
0.0,16,fundamental,0.4836438924274065,-0.09675878999169116,,2.4626072415798258e-08,9.681237060917291e-19,16,0.0,5.044338974657224e+18,True,tracked,0.005909686118501937,
0.0,16,first_overtone,0.46385479091430576,-0.2956025836838266,,1.2820977374736887e-05,5.457590515064909e-19,16,0.0,8.730006978033236e+18,True,tracked,0.0033378812164812787,
0.0,24,fundamental,0.48364387218444604,-0.09675877604571895,4.9838744099650447e-08,8.519201730310147e-11,3.0486659213971447e-19,24,0.0,3.881604494557405e+19,True,tracked,0.003417354119948297,0.9999999999999868
0.0,24,first_overtone,0.46385063081398814,-0.29560394046787497,7.955377562516927e-06,1.1958589601000946e-05,2.4872663741889426e-19,24,0.0,4.6788690773197636e+19,True,tracked,0.002799538506737,0.999999999881113
0.0,32,fundamental,0.48364387221053917,-0.09675877597793836,1.4725367083364906e-10,2.7237548549098308e-11,5.471260831399778e-19,32,0.0,4.014065431169722e+19,True,tracked,0.001306413915263208,1.0000000000000002
0.0,32,first_overtone,0.46385057891627257,-0.2956039379805023,9.446169433717649e-08,1.1939202993374163e-05,4.271250894657042e-19,32,0.0,5.079028815250584e+19,True,leaver_validated_reference_grid,0.0010200153602616467,0.9999999999999848
0.0,48,fundamental,0.483643872210601,-0.0967587759783489,8.417289189501243e-13,2.7546982487749004e-11,2.9097464229607473e-19,48,0.0,1.7833245382047433e+20,True,tracked,0.0069658157826397995,1.0000000000000002
0.0,48,first_overtone,0.4638505786004547,-0.2956039368116171,2.201310067092564e-09,1.1937995041185252e-05,7.472088700013758e-20,48,0.0,6.891042192535578e+20,True,exploratory_high_n_overtone,0.0017887911418047017,1.0000000000000004
0.0,64,fundamental,0.48364387220903693,-0.09675877597674665,4.5396769547177775e-12,2.5320278460452652e-11,2.4221984657869265e-19,64,0.0,3.915356665682136e+20,True,tracked,0.006794839990407689,1.0
0.0,64,first_overtone,0.46385060361144476,-0.29560385081459994,1.6282629149871897e-07,1.186498320011139e-05,9.244998667505578e-20,64,0.0,1.0202142768660303e+21,True,exploratory_high_n_overtone,0.002593677035520977,0.9999999999999558
