a_over_M,N,omega_real,omega_imag,leaver_real,leaver_imag,delta_from_N96,relative_delta_from_N96,delta_from_leaver,relative_delta_from_leaver,residual_norm,condition_number
0.0,64,0.48364387220903693,-0.09675877597674665,0.4836438722107129,-0.09675877597828791,2.5320278460452652e-11,5.133587120901226e-11,2.2769400020912134e-12,4.616406524707624e-12,2.4221984657869265e-19,3.915356665682136e+20
0.0,96,0.48364387218947097,-0.09675877596067525,0.4836438722107129,-0.09675877597828791,0.0,0.0,2.759395569900891e-11,5.594566260613084e-11,1.0355691969246011e-19,2.1255195010522072e+21
0.0,128,0.4836438721584987,-0.09675877602288466,0.4836438722107129,-0.09675877597828791,6.949310850308715e-11,1.4089455112432518e-10,6.866728190585183e-11,1.3922022009054827e-10,3.762697152986144e-20,1.0582595953257446e+22
1.0,64,0.4483624090013222,-0.09424817915922012,0.44836240900203356,-0.09424817915891798,9.326899153129664e-11,2.035724921861498e-10,7.728828450524794e-13,1.686923857362328e-12,1.5074571871703994e-19,5.923988354044995e+20
1.0,96,0.44836240909457853,-0.09424817915768438,0.44836240900203356,-0.09424817915891798,0.0,0.0,9.255319305581865e-11,2.0201016291197462e-10,4.0165741278601735e-20,5.162250835324125e+21
1.0,128,0.4483624090722082,-0.09424817869430951,0.44836240900203356,-0.09424817915891798,4.6391453765052976e-10,1.0125577326438027e-09,4.69878180341137e-10,1.0255742090091817e-09,2.76561031087729e-20,1.3565601385048183e+22
