model,parameter,ell,overtone,spectral_N,center_real,center_imag,q10_susceptibility,q50_susceptibility,area_fraction_m10,curvature_trace_indicator,eigen_condition_indicator,nearest_eigenvalue_distance,overlap_previous_parameter,hit_minimizer_boundary
ks,0.0,0,0,32,0.11045537455222292,-0.10489481856154506,10.366586905140263,10.083870393023448,0.5817174515235457,21536334.90040996,6525.628821462174,0.24324963201441918,,False
ks,0.1,0,0,32,0.1103588223155846,-0.10487364936040391,10.368765600383279,10.08591136323468,0.5844875346260388,20473897.888018154,6552.777559121437,0.24322333023749762,0.9999999971005445,False
ks,0.2,0,0,32,0.11007061157546101,-0.10481013876826278,10.375271948581533,10.092005608849615,0.592797783933518,21254038.601246864,6634.548465014122,0.2431465957014589,0.9999999742660817,False
ks,0.35,0,0,32,0.10928900629549763,-0.10463548450974489,10.392938626964686,10.108280494430197,0.6121883656509696,23600915.43309979,6861.928821334712,0.2429489967127519,0.9999998127494508,False
ks,0.5,0,0,32,0.10811159528192005,-0.10436568362184523,10.419613159143147,10.132330274257699,0.6232686980609419,20746594.34973303,7220.570872985582,0.24268704431726124,0.9999995828880424,False
ks,0.75,0,0,32,0.1053709708649894,-0.10370616121934485,10.48199659708435,10.191791498030025,0.6925207756232687,21885393.045861438,8136.679816026718,0.2423024027491218,0.9999978135780702,False
ks,1.0,0,0,32,0.101840771624337,-0.10279049958017718,10.56298334950766,10.272401270173328,0.775623268698061,21278906.088369243,9507.357911045154,0.24237323436363525,0.9999965152438134,False
ks,0.0,0,1,32,0.08666972839479002,-0.34697874308364907,13.971344378211986,13.689170576822207,1.0,5853440.134605163,41054819.561389476,0.24324963201441918,,False
ks,0.1,0,1,32,0.08653804171160136,-0.3469276903992507,13.975424802264667,13.69311303673142,1.0,5541761.028890625,41395944.65605324,0.24322333023749762,0.999999946886941,False
ks,0.2,0,1,32,0.08614472139150653,-0.3467767041861198,13.987690902455423,13.704895000974965,1.0,5753254.306282945,42438710.832603455,0.2431465957014589,0.9999995286221005,False
ks,0.35,0,1,32,0.08506752294428113,-0.3463740514534568,14.021714761233243,13.737206045817226,1.0,5667435.535604125,45473574.05316934,0.2429489967127519,0.9999965221463956,False
ks,0.5,0,1,32,0.08342077393277457,-0.3457934467737928,14.075050643064834,13.787984331459038,1.0,5608752.660583327,50683778.8783803,0.24268704431726124,0.9999921162297554,False
ks,0.75,0,1,32,0.07954119082730716,-0.3446278846923488,14.207067482960559,13.915781837041337,1.0,5769805.7923224345,66488942.38813616,0.2423024027491218,0.9999587441220323,False
ks,1.0,0,1,32,0.07480075629173331,-0.3436506712705216,14.374882473900032,14.090093118844035,1.0,6258234.96056883,95839044.26125705,0.24237323436363525,0.9999420676504397,False
ks,0.0,1,0,32,0.29293613329687984,-0.09765998896988946,8.614585280522723,8.326929927041128,0.002770083102493075,15250112.013906278,223.911446935895,0.21053412604386473,,False
ks,0.1,1,0,32,0.2926892527223265,-0.09763443734103025,8.616269328680003,8.32865129532077,0.002770083102493075,14909799.076123703,224.37950042873672,0.21050133243210867,0.9999999913660713,False
ks,0.2,1,0,32,0.29195301155214065,-0.0975579156095639,8.621296138362599,8.333789729545865,0.002770083102493075,15390874.130935214,225.7841112381035,0.21040298511576574,0.9999999230249939,False
ks,0.35,1,0,32,0.2899616537967637,-0.09734851498663594,8.634927507171886,8.347725423087422,0.002770083102493075,15138526.154924043,229.6504697870335,0.21013289907807797,0.9999994329750479,False
ks,0.5,1,0,32,0.28697624762754126,-0.09702789818995475,8.655458814213898,8.368696151907237,0.002770083102493075,15012174.683160199,235.63736899249375,0.20971674386771522,0.9999987093287884,False
ks,0.75,1,0,32,0.28009254746539153,-0.09625759717870917,8.703233500288631,8.41717533638782,0.002770083102493075,15356516.027283292,250.37973784420626,0.20870496916057898,0.999992960418597,False
ks,1.0,1,0,32,0.2713551762982948,-0.0952160907063619,8.765223835224488,8.479528106267564,0.002770083102493075,17062679.907003473,271.205074198945,0.2073135111026492,0.999988178129761,False
ks,0.0,1,1,32,0.26444850889902083,-0.30625786404348754,11.896378199913844,11.601050018150879,1.0,5861027.811721111,421032.8305503667,0.21053412604386473,,False
ks,0.1,1,1,32,0.264175411844466,-0.30619563179983933,11.89969095431659,11.604318525902675,1.0,6113859.785907669,423678.23535352864,0.21050133243210867,0.9999999595362854,False
ks,0.2,1,1,32,0.263361077097303,-0.30600915074563934,11.909583439013044,11.61407905003264,1.0,6064237.81830946,431679.4876173012,0.21040298511576574,0.9999996399763895,False
ks,0.35,1,1,32,0.26115927389907473,-0.30549812028817597,11.936440794008572,11.640578771084753,1.0,6298173.80660644,454190.57345676515,0.21013289907807797,0.9999973636270697,False
ks,0.5,1,1,32,0.25786057882866836,-0.3047136957035816,11.976981706995458,11.680581497574968,1.0,6244660.348967803,490468.60054279584,0.20971674386771522,0.9999940647739368,False
ks,0.75,1,1,32,0.25026535879407014,-0.3028201856798306,12.07174615013441,11.774094262450896,1.0,6074345.367445705,587293.5892133315,0.20870496916057898,0.9999683527224817,False
ks,1.0,1,1,32,0.2406492920241558,-0.30024301712494583,12.194682437994107,11.895415418433018,1.0,6738255.620253431,742788.592117844,0.2073135111026492,0.9999488264437056,False
ks,0.0,2,0,32,0.48364387221053917,-0.09675877597793836,7.81321651712536,7.532962453442684,0.002770083102493075,6020014.888532383,77.11976682588755,0.19982785819614526,,False
ks,0.1,2,0,32,0.483239497757037,-0.09673251233519473,7.814629679317491,7.534421151012077,0.002770083102493075,6165864.956421582,77.20606573441785,0.1997829707250151,0.9999999818659425,False
ks,0.2,2,0,32,0.48203368791930384,-0.09665386072209685,7.818841192703437,7.538770557615216,0.002770083102493075,6018266.163964409,77.46550787428856,0.19964848848214353,0.9999998385818212,False
ks,0.35,2,0,32,0.4787730505081957,-0.09643864960362361,7.830211892802947,7.550529492051644,0.002770083102493075,6150871.4100570595,78.18313102809995,0.19928007538195966,0.9999988160737471,False
ks,0.5,2,0,32,0.4738869263709161,-0.09610918270333074,7.847205596770601,7.568144304596378,0.002770083102493075,6523381.830766534,79.30375926166705,0.19871488073528099,0.9999973259643499,False
ks,0.75,2,0,32,0.46263042806172944,-0.09531781302130435,7.886184715783319,7.607451117345359,0.002770083102493075,6945770.639190318,82.13835478889811,0.19735183107220208,0.9999856304871835,False
ks,1.0,2,0,32,0.4483624090017799,-0.0942481791587782,7.935417609992038,7.655424946759069,0.002770083102493075,7063664.953449688,86.22878796507483,0.19549852680356364,0.9999764006230958,False
ks,0.0,2,1,32,0.46385057891627257,-0.2956039379805023,10.547968557589295,10.25015242287083,0.7313019390581718,3715392.4832255477,30690.538180680247,0.19982785819614526,,False
ks,0.1,2,1,32,0.46342740313790465,-0.2955306921521005,10.550596951022818,10.252784269329391,0.7368421052631579,3810322.441837758,30824.795669714298,0.1997829707250151,0.9999999648871736,False
ks,0.2,2,1,32,0.46216558690205634,-0.29531129832555797,10.558445341138789,10.260642858525472,0.739612188365651,3790356.4976161984,31229.316774069204,0.19964848848214353,0.9999996876865136,False
ks,0.35,2,1,32,0.45875393170931356,-0.2947106429026162,10.579748962340181,10.28197306415249,0.7562326869806094,4152302.8932582336,32355.347316700732,0.19928007538195966,0.9999977143330943,False
ks,0.5,2,1,32,0.4536427457066632,-0.29379018071495056,10.611893316168,10.314152980947926,0.7922437673130194,3849483.1825998058,34135.13942965711,0.19871488073528099,0.9999948599944688,False
ks,0.75,2,1,32,0.4418740611766308,-0.29157508922089437,10.68695408958224,10.390368694932121,0.853185595567867,3989974.7417024295,38710.705574618536,0.19735183107220208,0.9999726565755346,False
ks,1.0,2,1,32,0.4269714902744878,-0.28857291401866697,10.78413579460153,10.487301636063332,0.9168975069252078,4391536.45560837,45630.23039095015,0.19549852680356364,0.9999559586016741,False
ks,0.0,3,0,32,0.6753662325366268,-0.09649962773398167,7.371579616276252,7.070781485557272,0.002770083102493075,3331086.381064508,50.103522700094416,0.19633584260601414,,False
ks,0.1,3,0,32,0.6748028804578823,-0.09647314744850556,7.3726885879428234,7.07200494649928,0.002770083102493075,3269654.593444676,50.1345110505006,0.1962868881397259,0.9999999677956254,False
ks,0.2,3,0,32,0.6731230465477877,-0.09639384455417647,7.3759903804592675,7.075649250855993,0.002770083102493075,3329271.020652839,50.228008945666986,0.1961402471795165,0.9999997136043987,False
ks,0.35,3,0,32,0.668580847585088,-0.09617683171956645,7.384883730378828,7.084153339985798,0.002770083102493075,3334384.189828366,50.48905090822532,0.19573871858206932,0.9999979048366776,False
ks,0.5,3,0,32,0.6617749533438675,-0.09584454856219772,7.398776375262507,7.096224282919708,0.002770083102493075,3430804.5281510353,50.90266664896076,0.19512323906251763,0.9999952898320166,False
ks,0.75,3,0,32,0.6460987323439196,-0.09504610763581625,7.430817791701935,7.127712181497314,0.002770083102493075,3586181.1161103193,51.95628354003216,0.1936412044590042,0.9999749169348999,False
ks,1.0,3,0,32,0.6262342541563701,-0.09396617452987781,7.470640200887031,7.169317022460952,0.002770083102493075,3869112.8132941485,53.4806302163729,0.1916303866616669,0.9999593710571861,False
ks,0.0,3,1,32,0.6606714979876019,-0.2922847851600421,9.77188037784077,9.44869727479802,0.027700831024930747,2487684.974247624,7934.192195820842,0.19633584260601414,,False
ks,0.1,3,1,32,0.6600941976127328,-0.292208165022107,9.774155204078667,9.451038977505057,0.027700831024930747,2527292.290301365,7958.938591540888,0.1962868881397259,0.9999999632001351,False
ks,0.2,3,1,32,0.6583728165673843,-0.2919786785244183,9.780945445156892,9.458031656914617,0.030470914127423823,2366015.9306424027,8033.314873148988,0.1961402471795165,0.9999996728733943,False
ks,0.35,3,1,32,0.65371862680567,-0.2913504988615617,9.799357350254645,9.477013061457342,0.0332409972299169,2560384.3426383696,8238.944540822096,0.19573871858206932,0.9999976099365054,False
ks,0.5,3,1,32,0.6467459452483932,-0.2903881358065851,9.827079079719908,9.505645096056568,0.038781163434903045,2453169.5811045147,8560.08642789909,0.19512323906251763,0.9999946414094047,False
ks,0.75,3,1,32,0.6306907507820565,-0.2880733341312595,9.891493986790621,9.572377193286195,0.05263157894736842,2565803.211533916,9366.36285440625,0.1936412044590042,0.9999716597366167,False
ks,1.0,3,1,32,0.6103582494974478,-0.28493778909123046,9.974258651737527,9.656834870596311,0.0886426592797784,2704390.7390316236,10547.145741550084,0.1916303866616669,0.9999547585585843,False
ks,0.0,4,0,32,0.8674156417378459,-0.09639169234802933,7.083743150471207,6.75966620608963,0.002770083102493075,2047022.8355192202,41.45143304526121,0.1948304165533451,,False
