a_over_M,mode,spectral_N,spectral_real,spectral_imag,leaver_real,leaver_imag,relative_difference_spectral_leaver,schwarzschild_reference_relative_error,continued_fraction_abs,taylor_order,continued_fraction_depth,validation_threshold,validation_passed
0.0,fundamental,32,0.48364387221053917,-0.09675877597793836,0.48364387221071303,-0.09675877597828782,7.913528165069764e-13,9.651538848389107e-11,4.742874840267547e-16,96,240,1e-06,True
0.0,first_overtone,32,0.46385057891627257,-0.2956039379805023,0.4638505790197655,-0.2956039369879625,1.8142844205909435e-09,,5.4672143489065705e-16,96,240,1e-06,True
0.2,fundamental,32,0.48203368791930384,-0.09665386072209685,0.48203368791957835,-0.09665386072221566,6.084073632980392e-13,,5.509324452557032e-16,96,240,1e-06,True
0.2,first_overtone,32,0.46216558690205634,-0.29531129832555797,0.46216558699247906,-0.2953112973489303,1.7882961564609665e-09,,2.3714374201337736e-16,96,240,1e-06,True
0.5,fundamental,32,0.4738869263709161,-0.09610918270333074,0.4738869263710777,-0.09610918270358437,6.219483207098473e-13,,7.151963422724292e-14,96,240,1e-06,True
0.5,first_overtone,32,0.4536427457066632,-0.29379018071495056,0.45364274584456094,-0.2937901797474656,1.8081830764410907e-09,,7.92120068171973e-13,96,240,1e-06,True
1.0,fundamental,32,0.4483624090017799,-0.0942481791587782,0.44836240900203495,-0.09424817915891738,6.341136312121044e-13,,4.065599728786519e-15,96,240,1e-06,True
1.0,first_overtone,32,0.4269714902744878,-0.28857291401866697,0.426971489573508,-0.2885729134534649,1.7472980192219998e-09,,2.5885773982057002e-12,96,240,1e-06,True
