ell,overtone,q10_gain_n64,q50_gain_n64,monotonic_q10_n64,positive_gain_all_tested_n,max_center_spread_endpoint,reliability,real_frequency_softening,damping_shift,quality_factor_shift,quality_factor_baseline,potential_height_softening,potential_width_growth,potential_curvature_softening,log10_condition_baseline,log10_condition_endpoint,log10_condition_growth,nearest_eigenvalue_distance_endpoint,nearest_eigenvalue_distance_growth,overtone_load,branch_ratio,leaver_endpoint_status,leaver_failed,max_endpoint_leaver_relative_difference,comment,sensitivity_class
0,0,0.3102559559443012,0.28726338627203063,True,True,7.877902654631995e-06,caution,0.07798344371725774,-0.020059898581109237,-0.0591092711200194,0.5264988123581859,0.08296647967754289,0.011771541743248237,0.09990048158880382,5.701749915496144,5.961918723487719,0.2601688079915746,0.24289284294253813,0.010667924234671444,0.0,1.0,ok,False,3.099882044083125e-08,deep contour touches local window,weakly increasing sensitivity
0,1,0.7560110645193987,0.7059356912955366,False,True,0.009874966055870092,caution,0.14013227232729097,0.0003058229093089171,-0.14039515918056644,0.12309429253646496,0.08296647967754289,0.011771541743248237,0.09990048158880382,11.72903174457763,12.422552353860903,0.6935206092832721,0.044926433238337025,-0.3181803240191202,2.0,2.0,ok,False,0.012666772057344788,deep contour touches local window; N=64 susceptibility not monotonic in a/M,non-monotonic sensitivity
1,0,0.2024212181346261,0.20308745643376014,True,True,1.89716867562617e-10,usable,0.07367120192448351,-0.025024559726030127,-0.04989524883291774,1.4997755813121227,0.12774569014634363,0.02504067143306621,0.16453466055324772,3.477110260973421,3.6185615822294728,0.14145132125605211,0.20731142075088327,-0.015290264743491266,0.0,0.5,ok,False,6.598537082405165e-11,deep contour touches local window,robustly increasing sensitivity
1,1,0.45475428470062695,0.4457919298231161,True,True,6.462215753690759e-06,usable,0.09000623793205009,-0.019636306076241894,-0.07177941440707902,0.43175061860856956,0.12774569014634363,0.02504067143306621,0.16453466055324772,8.60351249389334,9.005583151853829,0.40207065796048747,0.1981797723670488,0.01513532532261741,0.6666666666666666,1.0,ok,False,9.403083022989599e-06,deep contour touches local window,robustly increasing sensitivity
1,2,0.4492359624318816,0.4554815920879598,False,True,0.2698033714225118,exploratory,-0.41393874084048643,0.295861085285162,0.09111906893117383,0.22171326298017965,0.12774569014634363,0.02504067143306621,0.16453466055324772,11.959744918935131,12.552301455244638,0.5925565363095082,0.12274473985065645,0.3393953548157984,1.3333333333333333,1.5,failed: RuntimeError,True,0.08243667654859868,deep contour touches local window; N=64 susceptibility not monotonic in a/M; endpoint center spread across N is large,numerically inconclusive
2,0,0.16052047796330626,0.1609739850796963,True,True,6.959797367922261e-12,usable,0.07294926129543855,-0.025946967519823505,-0.04825434776989068,2.4992248368523575,0.13534969248836537,0.028220062949984248,0.17785290361451367,2.74981481330421,2.843664615784596,0.09384980248038657,0.195498493752788,-0.021665033255465538,0.0,0.3333333333333333,ok,False,4.616463662518612e-12,deep contour touches local window,robustly increasing sensitivity
2,1,0.3473188585938711,0.3484869494490628,True,True,8.033365565644134e-08,usable,0.07950646288475116,-0.023785112568762812,-0.05707898028743508,0.7845814632204633,0.13534969248836537,0.028220062949984248,0.17785290361451367,6.790433733440478,7.077796539895118,0.2873628064546401,0.195498493752788,-0.021665033255465538,0.4,0.6666666666666666,ok,False,1.629233292323119e-07,deep contour touches local window,robustly increasing sensitivity
2,2,0.5499187524404974,0.5346696022114443,False,True,0.0008689808959284271,caution,0.09247155583173294,-0.01896503686688078,-0.07492752218544307,0.42419969391890106,0.13534969248836537,0.028220062949984248,0.17785290361451367,10.568573299957537,11.05327825913853,0.4847049591809936,0.12666788760935677,-0.03347512437844635,0.8,1.0,failed: RuntimeError,True,0.001442191904119326,deep contour touches local window; N=64 susceptibility not monotonic in a/M,numerically inconclusive
3,0,0.140851651167754,0.1471457120838533,True,True,3.2208962695032156e-12,usable,0.07274864512400614,-0.02625350234154067,-0.047748713750725646,3.499320403670012,0.13753541401423708,0.030763040839385303,0.18192369557588273,2.4289789060577056,2.483331535276861,0.054352629219155395,0.19163038289528875,-0.02396634293209321,0.0,0.25,ok,False,3.82198108129202e-12,trend passes finite-N scalar checks,robustly increasing sensitivity
3,1,0.28525656393984633,0.2883249154526055,True,True,8.004234371763565e-09,usable,0.07615472650324273,-0.025136419390676124,-0.05233379123741444,1.1301845992088955,0.13753541401423708,0.030763040839385303,0.18192369557588273,5.83280774244291,6.054064802346183,0.22125705990327296,0.19163038289528875,-0.02396634293209321,0.2857142857142857,0.5,ok,False,1.915821415828283e-08,deep contour touches local window,robustly increasing sensitivity
