a_over_M,time_domain_real,time_domain_imag,matrix_pencil_real,matrix_pencil_imag,direct_spectral_real,direct_spectral_imag,spectral_residual_real,spectral_residual_imag,schwarzschild_rel_error_time_domain,schwarzschild_rel_error_matrix_pencil,schwarzschild_rel_error_direct_spectral,schwarzschild_rel_error_spectral_residual
0.0,0.483642479930529,-0.0967589186885933,0.48365353030732033,-0.09676342092197401,0.4836438724947166,-0.09675877599443507,0.4836438724947166,-0.09675877599443507,2.8376008706096457e-06,2.1728255579140204e-05,5.52130619926646e-10,5.52130619926646e-10
0.2,0.4820323922542681,-0.096653470721052,0.48204305025991434,-0.09665835260702602,0.48203368886473136,-0.09665386083263755,0.48203368886473136,-0.09665386083263755,,,,
0.5,0.47388655852219114,-0.0961068215729901,0.4738945865046247,-0.09611286342546796,0.4738869256633045,-0.09610918289367959,0.4738869256633045,-0.09610918289367959,,,,
1.0,0.44836164922382,-0.09424653874704844,0.448362133868067,-0.09424903938564061,0.44836240996690824,-0.09424817856400139,0.44836240996690824,-0.09424817856400139,,,,
