perturbation_type,ell,overtone,mode,confidence_tier,a_over_M,spectral_N,spectral_real,spectral_imag,leaver_real,leaver_imag,spectral_leaver_relative_difference,continued_fraction_abs,polynomial_backward_error_raw,schwarzschild_literature_real,schwarzschild_literature_imag,literature_relative_error,literature_tolerance,spectral_leaver_validation_passed,literature_validation_passed,literature_source
scalar,4,0,fundamental,robust_quantitative,0.0,32,0.8674156417378459,-0.09639169234802933,0.8674156417378789,-0.09639169234802263,3.8553806534114085e-14,1.3732700395566711e-15,2.4510366377881977e-20,0.867416,-0.096392,5.410798360233572e-07,5e-05,True,True,Berti-Cardoso-Starinets review/ringdown tables; rounded scalar references also agree with recent Schwarzschild tables
scalar,4,1,first overtone,validated_low_lying,0.0,32,0.8558080351189341,-0.29087602252126094,0.8558080351237757,-0.2908760225332742,1.4329415127939906e-11,8.005932084973442e-16,6.1693647031166024e-21,0.855808,-0.290876,4.61676151077629e-08,5e-05,True,True,Berti-Cardoso-Starinets review/ringdown tables; rounded scalar references also agree with recent Schwarzschild tables
scalar,4,2,second overtone,exploratory_diagnostic,0.0,32,0.8336921345911323,-0.4903248934754127,0.8336921325614892,-0.4903248946181467,2.4082341318366355e-09,2.288783399261119e-15,6.588422920164034e-21,0.833692,-0.490325,1.7508974675404474e-07,5e-05,True,True,Berti-Cardoso-Starinets review/ringdown tables; rounded scalar references also agree with recent Schwarzschild tables
scalar,4,0,fundamental,robust_quantitative,0.2,32,0.8645374140302179,-0.09628553855213635,0.8645374140304737,-0.09628553855210949,2.956749578453687e-13,4.041272810440265e-16,2.2901138240500387e-20,,,,,True,,
scalar,4,1,first overtone,validated_low_lying,0.2,32,0.8528860569179052,-0.2905643294322282,0.8528860569232423,-0.29056432945505567,2.6018278591170056e-11,1.7235296186091125e-15,7.70311485868174e-21,,,,,True,,
scalar,4,2,second overtone,exploratory_diagnostic,0.2,32,0.830686345904597,-0.4898284389581769,0.8306863431769744,-0.4898284403813656,3.190321199625765e-09,1.2560739669470201e-15,2.4778076101421446e-21,,,,,True,,
scalar,4,0,fundamental,robust_quantitative,0.5,32,0.8499773147730515,-0.09573424166174234,0.8499773147730099,-0.09573424166165954,1.0834519104755332e-13,8.08254562088053e-16,4.308782856916419e-20,,,,,True,,
scalar,4,1,first overtone,validated_low_lying,0.5,32,0.8381062944097141,-0.2889449385992173,0.8381062944449222,-0.28894493865596466,7.533114094433817e-11,4.636427468134552e-15,7.88256432383717e-21,,,,,True,,
scalar,4,2,second overtone,exploratory_diagnostic,0.5,32,0.8154858850722103,-0.48724711497912765,0.815485875582896,-0.48724712171713397,1.2251237735190586e-08,3.4253259211123796e-13,4.054347005236326e-21,,,,,True,,
scalar,4,0,fundamental,robust_quantitative,1.0,32,0.8043830653957872,-0.09384796904808199,0.804383065395777,-0.09384796904803688,5.710379853424436e-14,6.753223014464259e-16,4.1358200717352165e-20,,,,,True,,
