perturbation_type,ell,overtone,mode,a_over_M,leaver_real,leaver_imag,schwarzschild_real,schwarzschild_imag,delta_real,fractional_real_shift,damping,schwarzschild_damping,delta_damping,fractional_damping_shift,quality_factor,fractional_quality_shift,complex_shift_abs,fractional_complex_shift,spectral_leaver_relative_difference
gravitational,2,0,fundamental,0.0,0.37367168441804177,-0.08896231568893574,0.37367168441804177,-0.08896231568893574,0.0,0.0,0.08896231568893574,0.08896231568893574,0.0,0.0,2.100168377611799,0.0,0.0,0.0,1.0727380586397459e-11
gravitational,2,0,fundamental,0.2,0.3723833691006361,-0.08885653412567836,0.37367168441804177,-0.08896231568893574,-0.0012883153174056972,-0.0034477199400648356,0.08885653412567836,0.08896231568893574,-0.00010578156325738441,-0.0011890603615496993,2.095419165088852,-0.0022613484583306064,0.0012926508021067864,0.0033652647354626003,1.1141247883103491e-11
gravitational,2,0,fundamental,0.5,0.3658681292784279,-0.088309919158722,0.37367168441804177,-0.08896231568893574,-0.007803555139613894,-0.020883453215801435,0.088309919158722,0.08896231568893574,-0.0006523965302137474,-0.007333403196190475,2.0715007598458017,-0.013650152088565761,0.007830778636229564,0.02038651362979641,8.88535659030065e-12
gravitational,2,0,fundamental,1.0,0.3454879561713115,-0.08647005305062835,0.37367168441804177,-0.08896231568893574,-0.028183728246730266,-0.07542377285189203,0.08647005305062835,0.08896231568893574,-0.002492262638307388,-0.0280148130026403,1.9977318388426786,-0.04877539337374752,0.028293707974456874,0.07365934986210673,8.809462883071715e-12
gravitational,2,1,first overtone,0.0,0.34671099687916335,-0.2739148752912349,0.34671099687916335,-0.2739148752912349,0.0,0.0,0.2739148752912349,0.2739148752912349,0.0,0.0,0.6328809205971916,0.0,0.0,0.0,3.150476342345582e-08
gravitational,2,1,first overtone,0.2,0.34531544193753316,-0.2736192538772392,0.34671099687916335,-0.2739148752912349,-0.0013955549416301838,-0.004025124539434688,0.2736192538772392,0.2739148752912349,-0.00029562141399575026,-0.0010792455637228034,0.6310145156898588,-0.002949061737509251,0.0014265222099642447,0.003228468121741772,3.1768589222932424e-08
gravitational,2,1,first overtone,0.5,0.33825647003918813,-0.27208954767335297,0.34671099687916335,-0.2739148752912349,-0.008454526839975218,-0.02438493995309244,0.27208954767335297,0.2739148752912349,-0.0018253276178819555,-0.006663849913011149,0.62159034209809,-0.017839972942220554,0.0086493262743675,0.019574931225248088,3.317095888268997e-08
gravitational,2,1,first overtone,1.0,0.3161639975111328,-0.2669182361628639,0.34671099687916335,-0.2739148752912349,-0.03054699936803057,-0.08810507784002275,0.2669182361628639,0.2739148752912349,-0.006996639128371007,-0.025543114885352467,0.5922487763597779,-0.06420187892387853,0.03133803008300158,0.07092341809644251,3.786340005890857e-08
gravitational,2,2,second overtone,0.0,0.30105345461229804,-0.47827698321961465,0.30105345461229804,-0.47827698321961465,0.0,0.0,0.47827698321961465,0.47827698321961465,0.0,0.0,0.3147270987051249,0.0,0.0,0.0,1.0244249051467922e-05
gravitational,2,2,second overtone,0.2,0.29946368274710694,-0.4778677962249519,0.30105345461229804,-0.47827698321961465,-0.001589771865191103,-0.00528069630437704,0.4778677962249519,0.47827698321961465,-0.0004091869946627469,-0.0008555439818747391,0.3133331908038193,-0.004428941476728694,0.0016415872136302503,0.002904749630249043,1.0470862577010254e-05
gravitational,2,2,second overtone,0.5,0.2914164333513081,-0.4757457571931693,0.30105345461229804,-0.47827698321961465,-0.00963702126098992,-0.032010997094853624,0.4757457571931693,0.47827698321961465,-0.0025312260264453434,-0.005292385197811324,0.3062732866716696,-0.026860769435605135,0.009963899035102976,0.017630882963598167,1.2015469154339846e-05
gravitational,2,2,second overtone,1.0,0.2661706203216734,-0.46853049963797927,0.30105345461229804,-0.47827698321961465,-0.034882834290624665,-0.11586923769251342,0.46853049963797927,0.47827698321961465,-0.009746483581635379,-0.020378324534927494,0.28404833893133546,-0.09747733798586268,0.0362188634602781,0.06408841965309073,0.0
gravitational,3,0,fundamental,0.0,0.5994432884374902,-0.09270304794494758,0.5994432884374902,-0.09270304794494758,0.0,0.0,0.09270304794494758,0.09270304794494758,0.0,0.0,3.2331368909977707,0.0,0.0,0.0,9.422696215805236e-14
gravitational,3,0,fundamental,0.2,0.5974160623007057,-0.0925936298018977,0.5994432884374902,-0.09270304794494758,-0.0020272261367845212,-0.0033818480845263814,0.0925936298018977,0.09270304794494758,-0.00010941814304987751,-0.0011803079345876128,3.2260105991031236,-0.0022041417158949485,0.0020301768739917165,0.0033469834993926453,4.506801958147117e-13
gravitational,3,0,fundamental,0.5,0.5871635814093505,-0.09202711928243466,0.5994432884374902,-0.09270304794494758,-0.01227970702813963,-0.02048518561305096,0.09202711928243466,0.09270304794494758,-0.0006759286625129118,-0.007291331595853432,3.190166040117607,-0.013290761365474532,0.01229829598984137,0.020275176156308514,3.048399464959931e-13
gravitational,3,0,fundamental,1.0,0.5550880799210591,-0.09010821749642933,0.5994432884374902,-0.09270304794494758,-0.044355208516431044,-0.07399400305581434,0.09010821749642933,0.09270304794494758,-0.0025948304485182427,-0.027990778146358284,3.0801190798333975,-0.04732797166443228,0.04443104396244403,0.07324976109628178,3.0790731133602955e-14
gravitational,3,1,first overtone,0.0,0.5826438030332994,-0.28129811343504396,0.5826438030332994,-0.28129811343504396,0.0,0.0,0.28129811343504396,0.28129811343504396,0.0,0.0,1.0356340394864412,0.0,0.0,0.0,1.0667707823714203e-10
gravitational,3,1,first overtone,0.2,0.5805547597932427,-0.2809811817329841,0.5826438030332994,-0.28129811343504396,-0.002089043240056765,-0.003585455177212914,0.2809811817329841,0.28129811343504396,-0.000316931702059875,-0.0011266755336169696,1.0330847713939484,-0.0024615530151528594,0.0021129475532055773,0.0032657869165383263,1.1091789538771235e-10
gravitational,3,1,first overtone,0.5,0.5699908817345729,-0.2793391464837658,0.5826438030332994,-0.28129811343504396,-0.012652921298726527,-0.02171639212989859,0.2793391464837658,0.28129811343504396,-0.0019589669512781738,-0.006964024491157951,1.0202488425081853,-0.014855823960638885,0.012803670134300067,0.01978944453440554,2.504368224874599e-10
gravitational,3,1,first overtone,1.0,0.5369590372055771,-0.27376487310014164,0.5826438030332994,-0.28129811343504396,-0.045684765827722296,-0.07840942543262801,0.27376487310014164,0.28129811343504396,-0.007533240334902325,-0.026780273222990758,0.980693817882838,-0.05304984145832763,0.04630170125035604,0.07156424205961681,1.4009609564961757e-10
gravitational,3,2,second overtone,0.0,0.551684900778451,-0.4790927509669616,0.551684900778451,-0.4790927509669616,0.0,0.0,0.4790927509669616,0.4790927509669616,0.0,0.0,0.5757600168912756,0.0,0.0,0.0,2.240936466319818e-08
gravitational,3,2,second overtone,0.2,0.5494797955849484,-0.47860484820686405,0.551684900778451,-0.4790927509669616,-0.002205105193502588,-0.003997037421888999,0.47860484820686405,0.4790927509669616,-0.000487902760097525,-0.0010183889426687881,0.5740432818886224,-0.002981684994248945,0.0022584370741118446,0.0030908910006632526,2.229905609286553e-08
gravitational,3,2,second overtone,0.5,0.5383310951514654,-0.47607379935028044,0.551684900778451,-0.4790927509669616,-0.013353805626985626,-0.024205494129244495,0.47607379935028044,0.4790927509669616,-0.0030189516166811425,-0.006301392810865824,0.5653861816026741,-0.01801763752997899,0.013690806900514472,0.01873720207912372,4.2451007879031324e-08
gravitational,3,2,second overtone,1.0,0.5035009350372502,-0.46744722244331827,0.551684900778451,-0.4790927509669616,-0.04818396574120076,-0.08733964926937664,0.46744722244331827,0.4790927509669616,-0.011645528523643311,-0.024307461342587485,0.5385644740870225,-0.06460251096469774,0.04957129097717951,0.06784313759677316,9.640310814875638e-09
gravitational,4,0,fundamental,0.0,0.8091783775322391,-0.09416396098892321,0.8091783775322391,-0.09416396098892321,0.0,0.0,0.09416396098892321,0.09416396098892321,0.0,0.0,4.296645813505154,0.0,0.0,0.0,6.868825342770505e-14
gravitational,4,0,fundamental,0.2,0.8064638343562723,-0.0940550171460168,0.8091783775322391,-0.09416396098892321,-0.002714543175966755,-0.003354690697798092,0.0940550171460168,0.09416396098892321,-0.00010894384290641157,-0.0011569590081201763,4.2871920011681475,-0.0022002773203439715,0.0027167284397036986,0.003334886806775315,3.0933642223607694e-13
gravitational,4,0,fundamental,0.5,0.7927343325645653,-0.09349025983983186,0.8091783775322391,-0.09416396098892321,-0.01644404496767382,-0.020321903580547248,0.09349025983983186,0.09416396098892321,-0.0006737011490913491,-0.007154554056733007,4.239662687442965,-0.01326223490032164,0.01645783971659603,0.02020262008406146,1.6340390633653617e-13
gravitational,4,0,fundamental,1.0,0.7497692937568452,-0.09156933627884145,0.8091783775322391,-0.09416396098892321,-0.05940908377539389,-0.07341902036059648,0.09156933627884145,0.09416396098892321,-0.002594624710081761,-0.02755432845892044,4.093997642800931,-0.04716427173663289,0.05946571543686274,0.07299641251132104,2.1301943888376897e-14
gravitational,4,1,first overtone,0.0,0.7966315320345024,-0.2843343494048407,0.7966315320345024,-0.2843343494048407,0.0,0.0,0.2843343494048407,0.2843343494048407,0.0,0.0,1.4008710760799483,0.0,0.0,0.0,1.3792352305161642e-11
gravitational,4,1,first overtone,0.2,0.7938708925998788,-0.28401432864725223,0.7966315320345024,-0.2843343494048407,-0.0027606394346236796,-0.003465390614872266,0.28401432864725223,0.2843343494048407,-0.0003200207575884684,-0.0011255086072376598,1.3975895096227202,-0.0023425185324054917,0.0027791263687149685,0.003285589049136209,2.6829252980716285e-11
