a_over_M,spectral_N,ell,overtone,grid_size,half_width,window_area,center_real,center_imag,leaver_real,leaver_imag,center_leaver_relative_difference,min_log10_relative_sigma,median_log10_relative_sigma,log10_relative_sigma_q05,log10_relative_sigma_q10,log10_relative_sigma_q25,log10_relative_sigma_q50,area_log10_relative_sigma_le_m10_0,area_log10_relative_sigma_le_m9_5,area_log10_relative_sigma_le_m9_0,area_fraction_log10_relative_sigma_le_m10_0,area_fraction_log10_relative_sigma_le_m9_5,area_fraction_log10_relative_sigma_le_m9_0,boundary_touch_log10_relative_sigma_le_m10_0,boundary_touch_log10_relative_sigma_le_m9_5,boundary_touch_log10_relative_sigma_le_m9_0
0.0,64,2,0,81,0.025,0.0025000000000000005,0.48364387220903693,-0.09675877597674665,0.48364387221071303,-0.09675877597828782,4.616438898752694e-12,-20.592771329837714,-9.574164938120123,-9.978478685434053,-9.898324398539742,-9.823536141339822,-9.574164938120123,0.00010897729004724891,0.0013957475994513036,0.00211819844535894,0.043590916018899556,0.5582990397805213,0.8472793781435758,False,True,True
0.2,64,2,0,81,0.025,0.0025000000000000005,0.4820336879226819,-0.0966538607234787,0.48203368791957835,-0.09665386072221566,6.815592307902282e-12,-20.660997693224502,-9.580284434182891,-9.984835010687997,-9.905597966778481,-9.830369875418235,-9.580284434182891,0.00011278768480414572,0.0014052735863435456,0.0021239140374942848,0.04511507392165828,0.5621094345374181,0.8495656149977138,False,True,True
0.5,64,2,0,81,0.025,0.0025000000000000005,0.473886926370446,-0.09610918270340535,0.4738869263710777,-0.09610918270358437,1.3579045896354717e-12,-21.08667866468594,-9.611530440990906,-10.01750032462525,-9.942113063015903,-9.865213333439815,-9.611530440990906,0.0001383173296753544,0.0014544276787075143,0.002156302392927908,0.055326931870141746,0.5817710714830057,0.862520957171163,False,True,True
1.0,64,2,0,81,0.025,0.0025000000000000005,0.4483624090013222,-0.09424817915922012,0.44836240900203495,-0.09424817915891738,1.6902210066570078e-12,-20.772614196071494,-9.709676728467823,-10.115680815783502,-10.05961470268179,-9.977701683150553,-9.709676728467823,0.0005517451607986589,0.0015916018899557996,0.0022523243408017076,0.2206980643194635,0.6366407559823197,0.9009297363206829,True,True,True
