a_over_M,N,mode,baseline_time_domain_real,baseline_time_domain_imag,baseline_matrix_pencil_real,baseline_matrix_pencil_imag,spectral_real,spectral_imag,spectral_residual_real,spectral_residual_imag,schwarzschild_reference_relative_error,matrix_dimension,sparsity,polynomial_backward_error_raw,residual_norm,hermiticity_error,psd_min_eigenvalue,branch_status,selection_score,eigenvector_overlap
0.0,16,fundamental,0.4836424799305551,-0.09675891868858087,0.48365353030729985,-0.09676342092197152,0.4836438924274065,-0.09675878999169116,0.4836438924274065,-0.09675878999169116,4.9872511372575613e-08,16,0.0,1.5383735494299853e-19,9.681237060917291e-19,0.0,2.528042200078254e-16,tracked,0.005909686118501937,
0.0,16,first_overtone,,,,,0.46385479091430576,-0.2956025836838266,0.46385479091430576,-0.2956025836838266,,16,0.0,8.44046954943008e-20,5.457590515064909e-19,0.0,4.249144209467511e-17,tracked,0.0033378812164812787,
0.0,24,fundamental,0.4836424799305551,-0.09675891868858087,0.48365353030729985,-0.09676342092197152,0.48364387218444604,-0.09675877604571895,0.48364387218444604,-0.09675877604571895,1.4747556418241322e-10,24,0.0,2.1999549892583347e-20,3.0486659213971447e-19,0.0,3.2796769532077094e-15,tracked,0.0012257817249779913,0.999999999999987
0.0,24,first_overtone,,,,,0.46385063081398814,-0.29560394046787497,0.46385063081398814,-0.29560394046787497,,24,0.0,1.7641587600235288e-20,2.4872663741889426e-19,0.0,-1.5252059095189013e-17,tracked,0.001011535339072122,0.9999999998811129
0.0,32,fundamental,0.4836424799305551,-0.09675891868858087,0.48365353030729985,-0.09676342092197152,0.48364387221053917,-0.09675877597793836,0.48364387221053917,-0.09675877597793836,9.426845410615135e-13,32,0.0,2.2225293319943267e-20,5.471260831399778e-19,0.0,-9.662012310065403e-16,tracked,0.0012809506812673762,1.0000000000000002
0.0,32,first_overtone,,,,,0.46385057891627257,-0.2956039379805023,0.46385057891627257,-0.2956039379805023,,32,0.0,1.7134167480856164e-20,4.271250894657042e-19,0.0,-5.142416369751562e-16,leaver_validated_reference_grid,0.0010001369694597323,0.9999999999999849
0.0,48,fundamental,0.4836424799305551,-0.09675891868858087,0.48365353030729985,-0.09676342092197152,0.483643872210601,-0.0967587759783489,0.483643872210601,-0.0967587759783489,1.0746208494498328e-12,48,0.0,5.211385600064425e-21,2.9097464229607473e-19,0.0,-6.34955273501558e-14,tracked,0.003894154018578987,1.0000000000000002
0.0,48,first_overtone,,,,,0.4638505786004547,-0.2956039368116171,0.4638505786004547,-0.2956039368116171,,48,0.0,1.3274614847044825e-21,7.472088700013758e-20,0.0,-2.9689179998026433e-15,exploratory_high_n_overtone,0.0010000031918861365,1.0000000000000002
0.0,64,fundamental,0.4836424799305551,-0.09675891868858087,0.48365353030729985,-0.09676342092197152,0.48364387220903693,-0.09675877597674665,0.48364387220903693,-0.09675877597674665,4.722136275103363e-12,64,0.0,2.419994292457575e-21,2.4221984657869265e-19,0.0,-1.996358902270839e-14,tracked,0.002620009541331623,1.0
0.0,64,first_overtone,,,,,0.46385060361144476,-0.29560385081459994,0.46385060361144476,-0.29560385081459994,,64,0.0,9.181553220751176e-22,9.244998667505578e-20,0.0,-4.064554631277352e-14,exploratory_high_n_overtone,0.0010002360981273607,0.9999999999999557
0.0,96,fundamental,0.4836424799305551,-0.09675891868858087,0.48365353030729985,-0.09676342092197152,0.48364387218947097,-0.09675877596067525,0.48364387218947097,-0.09675877596067525,5.602719449174563e-11,96,0.0,4.541644276142141e-22,1.0355691969246011e-19,0.0,4.54116979205557e-14,publication_high_n,0.0017421858947005997,1.0000000000000002
